parentclass,subclass,caption,document name,field,Path
Graphs and Tables,Description,Figure 3. Clé d’interprétation des résultats obtenus par puces à ADN. Illustration de résultats virtuels obtenus avec la technologie des puces à ADN montrant la répartition des intensités de signal d’hybridation des sondes lorsque les échantillons ont une structure de communauté bactérienne similaire (à gauche) ou complètement différente (à droite).,URS PAR-RAP-10-03122B SNCF In-Situ Le Mans Diagno.pdf,Le Man Rapports finaux Le Mans,/database/Graphs and Tables/Description/URS PAR-RAP-10-03122B SNCF In-Situ Le Mans Diagno-Figure3-1.png
Graphs and Tables,Description,Tableau 15 : Bilan synthétique des opérations d’écrémage,SolEnv_ADEME Dieulouard (54)_DOE vC_VF.pdf,Dieulouard,/database/Graphs and Tables/Description/SolEnv_ADEME Dieulouard (54)_DOE vC_VF-Table15-1.png
Graphs and Tables,Description,Tableau 6 : Valeurs de référence en fonction de la nature et de l’origine de la substance,Diagenv- Dieulouard (54)-VF.pdf,Dieulouard,/database/Graphs and Tables/Description/Diagenv- Dieulouard (54)-VF-Table6-1.png
Graphs and Tables,Description,,Diagenv- Dieulouard (54)-VF.pdf,Dieulouard,/database/Graphs and Tables/Description/Diagenv- Dieulouard (54)-VF-Table5-1.png
Graphs and Tables,Description,"Figure 4 : Transect recoupant le parc à copeaux – Agrandissement de la figure précédente - Évolution du potentiel dans l'aquifère lié à la marée à (par rapport à la berge et perpendiculairement à celle-ci) 69 m (noir), 169 m (vert), 310 m (orange) 423 m (parme), 691 m sous le parc à copeaux (noir), 818 m (bleu clair) et 975 m (bleu foncé), au niveau de la surface libre de la nappe",PF105-021-R02-modele-cleon-rapport-etape-2.pdf,Cléon,/database/Graphs and Tables/Description/PF105-021-R02-modele-cleon-rapport-etape-2-Figure4-1.png
Graphs and Tables,Description,FIGURE 5 PERTES DE CHARGE DANS LE PUITS,S0223-01-01 Rapport d'installation du pilote.pdf,Grande-Synthe,/database/Graphs and Tables/Description/S0223-01-01 Rapport d'installation du pilote-Figure5-1.png
Graphs and Tables,Description,Tableau 24 : Budget de la solution de traitement par excavation traitement hors site – scénario 2 : excavation de la source et des terres dans le panache aval,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table24-1.png
Graphs and Tables,Description,Tableau 2 - Conditions météorologiques avant et pendant les campagnes de prélèvements d’eaux souterraines,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table2-1.png
Graphs and Tables,Description,Tableau 6 : Récapitulatif des techniques et moyens mis en œuvre pour le traitement par oxydation chimique,PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ.pdf,S_Le Mans,/database/Graphs and Tables/Description/PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ-Table6-1.png
Graphs and Tables,Description,"Tableau 32 : Mesure de paramètres physico-chimiques, incertitude et étalonnage",P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table32-1.png
Graphs and Tables,Description,2006),rapport Moe 3 provisoire 20061219-ATT00379.pdf,Flins_rapport Moe 3 provisoire 20061219-ATT00379_Flins_BC1BC2,/database/Graphs and Tables/Description/rapport Moe 3 provisoire 20061219-ATT00379-Table1-1.png
Graphs and Tables,Description,Tableau 13 - Programme analytique par piézairs,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table13-1.png
Graphs and Tables,Description,Tableau X : suivi des niveaux d'eau (ouvrages de contrôle) - injection d'eau chaude,06 - SA15-104 Rapport Final lavage.pdf,Sotteville-lès-Rouen,/database/Graphs and Tables/Description/06 - SA15-104 Rapport Final lavage-TableX-1.png
Graphs and Tables,Description,Figure 9 - Enregistrements météorologiques des mois de mai et juin 2017 (source : Infoclimat),P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Figure9-1.png
Graphs and Tables,Description,Tabl. 14 - Objectifs de dépollution – comparaison du diagnostic SERPOL 2015 avec les objectifs SNCF,Nantes plan de gestion R2V1.pdf,Nantes,/database/Graphs and Tables/Description/Nantes plan de gestion R2V1-Table14-1.png
Graphs and Tables,Description,,06 - SA15-104 Rapport Final lavage.pdf,,/database/Graphs and Tables/Description/06 - SA15-104 Rapport Final lavage-TableI-1.png
Graphs and Tables,Description,FIGURE 29 EVOLUTION DE LA PHYSICO-CHIMIE EN ENTREE ET SORTIE DE STATION,S0223-03-01 Rapport d'installation du traitement global.pdf,Grande-Synthe,/database/Graphs and Tables/Description/S0223-03-01 Rapport d'installation du traitement global-Figure29-1.png
Graphs and Tables,Description,FIGURE 2 EVOLUTION DU RABATTEMENT DANS LE PUITS,S0223-01-01 Rapport d'installation du pilote.pdf,Grande-Synthe,/database/Graphs and Tables/Description/S0223-01-01 Rapport d'installation du pilote-Figure2-1.png
Graphs and Tables,Description,FIGURE 10- EVOLUTION DE LA PHYSICO-CHIMIE EN ENTREE ET SORTIE DE STATION,S0223-16-01 Note de suivi 2018-03.compressed.pdf,Grande-Synthe,/database/Graphs and Tables/Description/S0223-16-01 Note de suivi 2018-03.compressed-Figure10-1.png
Graphs and Tables,Description,Tableau 8: Résultats de la recherche d’alkB,RESI MS 00923-01 - SNCF - Nantes.pdf,Nantes,/database/Graphs and Tables/Description/RESI MS 00923-01 - SNCF - Nantes-Table8-1.png
Graphs and Tables,Description,j à 507 m de la berge,PF105-021-R02-modele-cleon-rapport-etape-2.pdf,Cléon,/database/Graphs and Tables/Description/PF105-021-R02-modele-cleon-rapport-etape-2-Figure6-1.png
Graphs and Tables,Description,Tableau XI : suivi des niveaux d'eau (ouvrages de contrôle) - injection d'eau tempérée,06 - SA15-104 Rapport Final lavage.pdf,Sotteville-lès-Rouen,/database/Graphs and Tables/Description/06 - SA15-104 Rapport Final lavage-TableXI-1.png
Graphs and Tables,Description,,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table3-1.png
Graphs and Tables,Description,Tableau 6 - Programme analytique sur les échantillons de sol,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table6-1.png
Graphs and Tables,Description,Tableau 22 : Avantages et inconvénients – traitement par écrémage en tranchée avec rabattement de nappe,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table22-1.png
Graphs and Tables,Description,Figure 4 : Mise à jour du seuil de coupure - Zone de battement – Etat initial,Nantes plan de gestion R2V1.pdf,Nantes,/database/Graphs and Tables/Description/Nantes plan de gestion R2V1-Figure4-1.png
Graphs and Tables,Description,Tableau 3: Codification des échantillons pour les analyses de biodégradation et d’oxydation,RESI MS 00926-02 - SNCF - Lyon Sibelin-v2.pdf,Sibelin,/database/Graphs and Tables/Description/RESI MS 00926-02 - SNCF - Lyon Sibelin-v2-Table3-1.png
Graphs and Tables,Description,Tableau 3 Résultats des analyses RT-qPCR (activité) ARN S4a S12a R 2,ENOVERAP040_TRW_1212v2.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/ENOVERAP040_TRW_1212v2-Table3-1.png
Graphs and Tables,Description,FIGURE 9- EVOLUTION DE LA CONCENTRATION EN FORMES AZOTEES EN ENTREE ET SORTIE DE STATION,S0223-16-01 Note de suivi 2018-03.compressed.pdf,Grande-Synthe,/database/Graphs and Tables/Description/S0223-16-01 Note de suivi 2018-03.compressed-Figure9-1.png
Graphs and Tables,Description,Tableau 5: Distribution granulométrique,Annexe 3 - Extrait rapport de faisabilité - BURGEAP - 2012 .pdf,Sibelin,/database/Graphs and Tables/Description/Annexe 3 - Extrait rapport de faisabilité - BURGEAP - 2012 -Table5-1.png
Graphs and Tables,Description,Tabl. 8 - Comparaison entre l'état initial à l'issue des diagnostics et les objectifs fixés par la SNCF pour la zone de battement,Nantes plan de gestion R2V1.pdf,Nantes,/database/Graphs and Tables/Description/Nantes plan de gestion R2V1-Table8-1.png
Graphs and Tables,Description,Tableau VIII : suivi des niveaux d'eau - injection d'eau tempérée,06 - SA15-104 Rapport Final lavage.pdf,Sotteville-lès-Rouen,/database/Graphs and Tables/Description/06 - SA15-104 Rapport Final lavage-TableVIII-1.png
Graphs and Tables,Description,kg de sol des deux pilotes Contrôle (en bleu) et amendé en,PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe.pdf,Grande-Synthe,/database/Graphs and Tables/Description/PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe-Figure1-1.png
Graphs and Tables,Description,,SNCF Sibelin-Rapport_pilote_V1-Table3-1.pdf,Sibelin,/database/Graphs and Tables/Description/SNCF Sibelin-Rapport_pilote_V1-Table3-1.png
Graphs and Tables,Description, litre d’eau).,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table8-1.png
Graphs and Tables,Description,FIGURE 21 : ESSAI D'INJECTION,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Figure21-1.png
Graphs and Tables,Description,"Figure 8 Mesures de la consommation en dioxygène par respirométrie pour les conditions Témoin, Amendé et Tamponné (S12a et P16FB)",ENOVERAP040_TRW_1212v2.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/ENOVERAP040_TRW_1212v2-Figure8-1.png
Graphs and Tables,Description,"Table 4.3. Vegetation development on the field plots during the first 18 months after sowing, evaluated according to the method of Braun-Blancquet at five different moments (3 month, 6 month, 8 month, 14 month, 16month).",La Combe du Saut Phytostabilization_Hasselt_IRH.pdf,ADEME,/database/Graphs and Tables/Description/La Combe du Saut Phytostabilization_Hasselt_IRH-Table4.3-1.png
Graphs and Tables,Description,Tableau IX : suivi des niveaux d'eau - effets rebonds,06 - SA15-104 Rapport Final lavage.pdf,Sotteville-lès-Rouen,/database/Graphs and Tables/Description/06 - SA15-104 Rapport Final lavage-TableIX-1.png
Graphs and Tables,Description,Tableau 23 : Budget de la solution de traitement par excavation traitement hors site – scénario 1 : excavation de la source,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table23-1.png
Graphs and Tables,Description,Tableau 4 : Synthèse des scénarios d’exposition,A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes-Table4-1.png
Graphs and Tables,Description,Tableau 7 : Estimation des volumes totaux de terres à excaver dans le cadre du projet,A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes-Table7-1.png
Graphs and Tables,Description,Tableau 8 : Relevés des compteurs de fonctionnement de l’installation (h),RAPPORT_7852-2_SERPOL_SNCF_NANTES_VA.pdf,Nantes,/database/Graphs and Tables/Description/RAPPORT_7852-2_SERPOL_SNCF_NANTES_VA-Table8-1.png
Graphs and Tables,Description,Figure 12: Evolution de la dépression en fonction du débit de pompage – V1-A2,SNCF Sibelin-Rapport_pilote_V1.pdf,Sibelin,/database/Graphs and Tables/Description/SNCF Sibelin-Rapport_pilote_V1-Figure12-1.png
Graphs and Tables,Description,,Diagenv- Dieulouard (54)-VF.pdf,Dieulouard,/database/Graphs and Tables/Description/Diagenv- Dieulouard (54)-VF-Table3-1.png
Graphs and Tables,Description,Figure 1.1. Scheme of the phytostabilization approach,La Combe du Saut Phytostabilization_Hasselt_IRH.pdf,ADEME,/database/Graphs and Tables/Description/La Combe du Saut Phytostabilization_Hasselt_IRH-Figure1.1-1.png
Graphs and Tables,Description,Tableau 8 : Paramètres physico-chimiques (mesurés au moment du prélèvement),P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table8-1.png
Graphs and Tables,Description,,PAR-RAP-10-05168B URS Bilan pilotes Le Mans.pdf,Le Mans,/database/Graphs and Tables/Description/PAR-RAP-10-05168B URS Bilan pilotes Le Mans-Table2-1.png
Graphs and Tables,Description,Tableau 5 : Taux d’humidité initiaux des sols avant injection,RAPPORT_7852-2_SERPOL_SNCF_NANTES_VA.pdf,Nantes,/database/Graphs and Tables/Description/RAPPORT_7852-2_SERPOL_SNCF_NANTES_VA-Table5-1.png
Graphs and Tables,Description,Tableau 16 : Budget de la solution de traitement par confinement par tranchées d’écrémage périphériques,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table16-1.png
Graphs and Tables,Description,Tableau 1 : Eléments constitutifs de l’unité de traitement SERPOL,RAPPORT_7852-1_SERPOL_SNCF_NANTES_VA.pdf,Nantes,/database/Graphs and Tables/Description/RAPPORT_7852-1_SERPOL_SNCF_NANTES_VA-Table1-1.png
Graphs and Tables,Description,Tableau 1 : relevé piézométrique des puits,05 - SA15-104 Rapport Final Pilote.pdf,Sotteville-lès-Rouen,/database/Graphs and Tables/Description/05 - SA15-104 Rapport Final Pilote-Table1-1.png
Graphs and Tables,Description,Figure 3 Illustration des situations pouvant se présenter lors de la recherche de biomarqueurs,ENOVERAP040_TRW_1212v2.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/ENOVERAP040_TRW_1212v2-Figure3-1.png
Graphs and Tables,Description,Tableau 2 : Résultats des analyses physico-chimiques pour les 2 conditions du pilote.,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table2-1.png
Graphs and Tables,Description,Tableau 33 : Coûts de l’essai pilote,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table33-1.png
Graphs and Tables,Description,Tableau 5 : Résultats des calculs de risques sanitaires – usage tertiaire,A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/A88972_PlanGestion_TRW_StJeanDeLaRuelle_vC_sans annexes-Table5-1.png
Graphs and Tables,Description,,05 - SA15-104 Rapport Final Pilote.pdf,,/database/Graphs and Tables/Description/05 - SA15-104 Rapport Final Pilote-Figure3-1.png
Graphs and Tables,Description,,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table1-1.png
Graphs and Tables,Description,Tableau 2 : Détails des sécurités et des asservissements de l’unité de traitement des eaux,RAPPORT_7852-1_SERPOL_SNCF_NANTES_VA.pdf,Nantes,/database/Graphs and Tables/Description/RAPPORT_7852-1_SERPOL_SNCF_NANTES_VA-Table2-1.png
Graphs and Tables,Description,Tableau 29 : note attribuée à chaque solution pour le critère « développement durable »,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Description/Dieulouard BURGEAPdimensionnementpilote-Table29-1.png
Graphs and Tables,Description,Figure 2 : Résultats des analyses de biologie moléculaire pour la présence et l’activité des trois,PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe.pdf,Grande-Synthe,/database/Graphs and Tables/Description/PAR-RAP-11-07679B Caractérisation complémentaire - Gde Synthe-Figure2-1.png
Graphs and Tables,Description,Tableau 11 - Programme analytique par piézomètres,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table11-1.png
Graphs and Tables,Description,FIGURE 15 : DONNEES BRUTES - ESSAI PAR PALIERS,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Figure15-1.png
Graphs and Tables,Description,Tableau 5 : Résultats des analyses physico-chimiques pour Pz5 et OC5.,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table5-1.png
Graphs and Tables,Description,Tableau 3 : Objectifs des essais,SolEnv_ADEME Dieulouard (54)_DOE vC_VF.pdf,Dieulouard,/database/Graphs and Tables/Description/SolEnv_ADEME Dieulouard (54)_DOE vC_VF-Table3-1.png
Graphs and Tables,Description,Tableau 10 : Nombre de copies des 3 biomarqueurs HAP sélectionnés.,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Description/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table10-1.png
Graphs and Tables,Description,Tableau 11 : Synthèse des couches rencontrées lors du forage des piézomètres,Diagenv- Dieulouard (54)-VF.pdf,Dieulouard,/database/Graphs and Tables/Description/Diagenv- Dieulouard (54)-VF-Table11-1.png
Graphs and Tables,Description,Tableau 4 Description des conditions d'optimisation testées,ENOVERAP040_TRW_1212v2.pdf,Saint-Jean-de-La-Ruelle,/database/Graphs and Tables/Description/ENOVERAP040_TRW_1212v2-Table4-1.png
Graphs and Tables,Results,,PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ.pdf,,/database/Graphs and Tables/Results/PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ-Table15-1.png
Graphs and Tables,Results,,SNCF Sibelin-Rapport_pilote_V1.pdf,Sibelin,/database/Graphs and Tables/Results/SNCF Sibelin-Rapport_pilote_V1-Figure2-1.png
Graphs and Tables,Results,FIGURE 3- EVOLUTION DES CONCENTRATIONS MOYENNES EN HCT C10-C40 PAR TRANCHES DE SOL,S0223-17-01 Rapport de suivi de la qualité des sols 2018-02-15.compresse....pdf,Grande-Synthe,/database/Graphs and Tables/Results/S0223-17-01 Rapport de suivi de la qualité des sols 2018-02-15.compresse...-Figure3-1.png
Graphs and Tables,Results,Tableau 19 : Résultats des analyses d’air ambiant,Diagenv- Dieulouard (54)-VF.pdf,Dieulouard,/database/Graphs and Tables/Results/Diagenv- Dieulouard (54)-VF-Table19-1.png
Graphs and Tables,Results,Tableau 9 : Résultats d’analyses de phase libre,Dieulouard BURGEAPdimensionnementpilote.pdf,Dieulouard,/database/Graphs and Tables/Results/Dieulouard BURGEAPdimensionnementpilote-Table9-1.png
Graphs and Tables,Results,Tableau 9 : Caractéristiques des ouvrages existants – ouvrages de monitoring,26_05_2016_14_26_09_1031_RESICE05830-01_Collonges_AVP_v01.pdf,Collonges-au-Mont-d'Or,/database/Graphs and Tables/Results/26_05_2016_14_26_09_1031_RESICE05830-01_Collonges_AVP_v01-Table9-1.png
Graphs and Tables,Results,Tabl. 12 - Diagnostic SERPOL 2015 - Zone non Saturée (0-3m),Nantes plan de gestion R2V1.pdf,Nantes,/database/Graphs and Tables/Results/Nantes plan de gestion R2V1-Table12-1.png
Graphs and Tables,Results,Tableau 7: Résultats d analyses des tests de biodégradation,Annexe 3 - Extrait rapport de faisabilité - BURGEAP - 2012 .pdf,Sibelin,/database/Graphs and Tables/Results/Annexe 3 - Extrait rapport de faisabilité - BURGEAP - 2012 -Table7-1.png
Graphs and Tables,Results,l),D-Rapport juillet-septembreV1_Flins_BC1BC2.pdf,Flins,/database/Graphs and Tables/Results/D-Rapport juillet-septembreV1_Flins_BC1BC2-Table6-1.png
Graphs and Tables,Results,,S0223-12-01 Rapport de suivi de la qualité des sols 2016-10-24.pdf,,/database/Graphs and Tables/Results/S0223-12-01 Rapport de suivi de la qualité des sols 2016-10-24-Figure9-1.png
Graphs and Tables,Results,l),ACI Le Mans_travaux de dépollution de nappe _CCT_mars2007_Annexe 4_suivi nappe décembre 2006.pdf,Le Mans,/database/Graphs and Tables/Results/ACI Le Mans_travaux de dépollution de nappe _CCT_mars2007_Annexe 4_suivi nappe décembre 2006-Table10-1.png
Graphs and Tables,Results,Tableau 6 : Concentrations massiques en hydrocarbures dans les échantillons d’eau.,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Table6-1.png
Graphs and Tables,Results,FIGURE 9 : EVOLUTION DU NIVEAU DU FLOTTANT EN FONCTION DU TEMPS DANS LE OUVRAGES DE SUIVI,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Figure9-1.png
Graphs and Tables,Results,SORTIE DE STATION,rapport fin pilote V1.pdf,Grande-Synthe,/database/Graphs and Tables/Results/rapport fin pilote V1-Figure18-1.png
Graphs and Tables,Results,ETAT FIN AL DE LA QUALITE DES EAUX POMPEES EN P1,rapport fin pilote V1.pdf,Grande-Synthe,/database/Graphs and Tables/Results/rapport fin pilote V1-Figure13-1.png
Graphs and Tables,Results,Graphique 9 : Evolution des teneurs en Ethylbenzène dans les gaz du sol,C-Rapport de redemarrage_Flins_BC1BC2.pdf,Flins,/database/Graphs and Tables/Results/C-Rapport de redemarrage_Flins_BC1BC2-Table9-1.png
Graphs and Tables,Results,,URS PAR-RAP-10-03122B SNCF In-Situ Le Mans Diagno.pdf,Le Mans,/database/Graphs and Tables/Results/URS PAR-RAP-10-03122B SNCF In-Situ Le Mans Diagno-Table1-1.png
Graphs and Tables,Results,Tableau 17 - Répartition des concentrations en hydrocarbures (HCT C10-C40) sur la zone Bâches à fioul,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table17-1.png
Graphs and Tables,Results,l),C-Rapport de redemarrage_Flins_BC1BC2.pdf,Flins,/database/Graphs and Tables/Results/C-Rapport de redemarrage_Flins_BC1BC2-Table7-1.png
Graphs and Tables,Results,,SNCF Sibelin-Rapport_pilote_V1.pdf,Sibelin,/database/Graphs and Tables/Results/SNCF Sibelin-Rapport_pilote_V1-Figure3-1.png
Graphs and Tables,Results,Tableau 6 : Analyse des gaz du sol,SNCF Sibelin-Rapport_pilote_V1.pdf,Sibelin,/database/Graphs and Tables/Results/SNCF Sibelin-Rapport_pilote_V1-Table6-1.png
Graphs and Tables,Results,l) des eaux souterraines prélevées au droit des zones allouées au traitement par oxydation chimique – Etat initial,PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ.pdf,S_Le Mans,/database/Graphs and Tables/Results/PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ-Table4-1.png
Graphs and Tables,Results,Tableau 30 - Répartition de la masse de naphtalène adsorbée dans les sols en équilibre avec le panache,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table30-1.png
Graphs and Tables,Results,FIGURE 21 MOYENNES DES CONCENTRATIONS EN HCT C10-40 PAR FRACTIONS,S0223-03-01 Rapport d'installation du traitement global.pdf,Grande-Synthe,/database/Graphs and Tables/Results/S0223-03-01 Rapport d'installation du traitement global-Figure21-1.png
Graphs and Tables,Results,kg),PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ.pdf,S_Le Mans,/database/Graphs and Tables/Results/PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ-Table12-1.png
Graphs and Tables,Results,,B-Rapport phases2&3-V3_Flins_BC1BC2.pdf,Flins,/database/Graphs and Tables/Results/B-Rapport phases2&3-V3_Flins_BC1BC2-Table9-1.png
Graphs and Tables,Results,Tableau 18 - Répartition verticale des concentrations en hydrocarbures (HCT C10-C40) sur la zone Bâches à fioul,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table18-1.png
Graphs and Tables,Results,FIGURE 5 : ESSAI DE VENTING - EVOLUTION DE LA DEPRESSION EN FONCTION DE LA DISTANCE,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-Annexes-Figure5-1.png
Graphs and Tables,Results,Tableau 24 - Répartition verticale des concentrations en naphtalène sur la zone Thermip,P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes.pdf,Chinon,/database/Graphs and Tables/Results/P16SSPET1048-Rapport_Chinon_AMI-A200-A210-A220-EDF-indB-BPO-ss-annexes-Table24-1.png
Graphs and Tables,Results,l) des campagnes de prélèvement d’eau souterraine au droit des zones 4 et 5 en traitement par lessivage – Juillet 2012 à Janvier 2015,PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ.pdf,S_Le Mans,/database/Graphs and Tables/Results/PAR-RAP-14-12743B_Deploiement à grande échelle des traitements in-situ-Table13-1.png
Graphs and Tables,Results,FIGURE 15 MOYENNES DES CONCENTRATIONS EN HCT C10-40 PAR FRACTIONS,S0223-01-01 Rapport d'installation du pilote.pdf,Grande-Synthe,/database/Graphs and Tables/Results/S0223-01-01 Rapport d'installation du pilote-Figure15-1.png
